name,id,birthday,department,fav_book
Kassie Carous,60,7/6/1923,Human Resources,
Morry Nardoni,61,5/2/1958,Product Management,Mathilda
Jessa Moulding,62,4/15/1972,Support,The Clue of the Whistling Bagpipes
Gaultiero McEntagart,63,7/18/1951,Sales,Three Dialogues Between Hylas and Philonous in Opposition to Sceptics and Atheists
Bidget Bradnock,64,12/2/1920,Research and Development,The Thousand and One NIghts
Keen Dybell,65,7/6/1985,Sales,Fruits of Solitude
Dasi Shalcras,66,12/21/1937,Services,Phaedo
Carlyn Raeside,67,7/22/1968,Services,On the Origin of Species By Means of Natural Selection
Tessa Cartner,68,10/25/1988,Sales,The Hidden Window Mystery
Deina Pettegre,69,9/30/1975,Engineering,
Sibyl Doll,70,3/12/1943,Product Management,Hermann and Dorothea
Agnesse MacDonogh,71,4/24/1937,Accounting,
Lalo Beavan,72,3/23/1971,Training,The Prince
Roosevelt Daly,73,3/30/1979,Marketing,Odd Thomas
Jacquelyn Kelshaw,74,11/12/1963,Human Resources,Tales
Eilis Greatex,75,4/18/1998,Marketing,The Holy Grail
Uta Eagland,76,7/10/1989,Engineering,All For Love
Gelya Spilling,77,12/3/1934,Engineering,Wilhelm Tell
Olly Ickowicz,78,1/11/1937,Marketing,American Historical Documents: 1000-1904
Lindy Stucksbury,79,3/16/1963,Research and Development,
Bonni Ellson,80,5/26/1998,Accounting,Tartuffe
Baxter Hawksby,81,12/25/1992,Research and Development,The Libation Bears
Rayshell Peakman,82,5/20/1994,Sales,Samson Agonistes
Mireille Larkworthy,83,4/9/1962,Marketing,Hymns
Finn Redpath,84,12/16/1952,Product Management,Minna von Barnhelm
Lawry Gatsby,85,,Research and Development,
Erina Brock,86,8/10/1921,Marketing,
Clem Waleworke,87,8/17/1985,Accounting,The Mystery at the Ski Jump
Howie Duddan,88,1/12/1997,Services,The Thousand and One NIghts
Cinderella Sawl,89,9/22/1931,Engineering,Letters
Klaus Camilio,90,4/2/1938,Research and Development,The Clue of the Whistling Bagpipes
Pris Luthwood,91,10/2/1933,Accounting,Name of the Wind
Shelia O'dell,92,9/8/1935,Support,
Jeramey Gerrish,93,7/28/1944,Training,The Odyessy
Ola Wyrill,94,4/21/1936,Research and Development,Foundation's Edge
Nolana Dermot,95,2/24/1956,Legal,The Autobiography of Benjamin Franklin
Amil Iacovolo,96,7/12/1985,Marketing,Harry Potter and the Chamber of Secrets
Leisha Carwithan,97,8/19/1987,Engineering,
Iggy Gietz,98,12/6/1996,Sales,Fruits of Solitude
Spencer Rogers Lewis,99,,Software Engineering,
Delmore Cruddas,100,5/30/1991,Marketing,Two Years Before the Mast
